First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Peter,Moylan,ATL,Relief Pitcher,74,200,28.24
Vernon,Wells,TOR,Outfielder,73,225,28.23
Mike,Wuertz,CHC,Relief Pitcher,75,205,28.21
Alex,Cintron,CWS,Shortstop,74,199,28.2
Chase,Utley,PHI,Second Baseman,73,183,28.2
Vinnie,Chulk,SF,Relief Pitcher,74,195,28.2
Victor,Martinez,CLE,Catcher,74,190,28.19
Mike,Restovich,WAS,Outfielder,76,257,28.16
Jack,Cust,SD,Outfielder,73,231,28.12
Byung-Hyun,Kim,COL,Starting Pitcher,69,180,28.11
Wandy,Rodriguez,HOU,Starting Pitcher,71,160,28.11
Juan,Rincon,MIN,Relief Pitcher,71,201,28.1
Carlos,Ruiz,PHI,Catcher,72,170,28.1
Phil,Seibel,ANA,Relief Pitcher,73,195,28.09
Lance,Niekro,SF,First Baseman,75,210,28.08
Aaron,Cook,COL,Starting Pitcher,75,205,28.06
Eliezer,Alfonzo,SF,Catcher,72,223,28.06
Humberto,Cota,PIT,Catcher,72,210,28.06
Josh,Willingham,FLA,Outfielder,73,200,28.03
Erik,Bedard,BAL,Starting Pitcher,73,189,27.99
Clint,Barmes,COL,Shortstop,72,175,27.99
Orlando,Hudson,ARZ,Second Baseman,72,185,29.22
John,Nelson,STL,First Baseman,73,190,27.99
Dave,Williams,NYM,Starting Pitcher,74,219,27.97
Johan,Santana,MIN,Starting Pitcher,72,206,27.97
Kevin,Youkilis,BOS,First Baseman,73,220,27.96
Mark,Buehrle,CWS,Starting Pitcher,74,220,27.94
Norris,Hopper,CIN,Outfielder,69,200,27.94
Michael,Cuddyer,MIN,Outfielder,74,222,27.93
Josh,Kinney,STL,Relief Pitcher,73,195,27.92
Adrian,Beltre,SEA,Third Baseman,71,220,27.9
Danny,Sandoval,PHI,Second Baseman,71,192,27.9
Jeremy,Guthrie,BAL,Relief Pitcher,73,200,27.9
Sean,Green,SEA,Relief Pitcher,78,230,27.86
Carlos,Silva,MIN,Starting Pitcher,76,240,27.85
Henry,Owens,FLA,Relief Pitcher,75,230,27.85
Jim,Ed,PHI,Relief Pitcher,79,190,27.82
Juan,Cruz,ARZ,Starting Pitcher,74,165,28.38
Jayson,Werth,PHI,Outfielder,77,215,27.78
Chris,Young,SD,Starting Pitcher,82,250,27.77
Joe,Kennedy,OAK,Starting Pitcher,76,237,27.77
Kirk,Saarloos,CIN,Starting Pitcher,72,,27.77
John,Rheinecker,TEX,Starting Pitcher,74,230,27.76
Pete,Orr,ATL,Second Baseman,73,175,27.73
Jeremy,Affeldt,COL,Relief Pitcher,76,215,27.73
Matt,Smith,PHI,Relief Pitcher,77,225,27.71
Brad,Hawpe,COL,Outfielder,75,200,27.69
Bernie,Castro,WAS,Second Baseman,70,160,27.63
Juan,Uribe,CWS,Shortstop,71,175,27.61
Jorge,Julio,ARZ,Relief Pitcher,73,232,27.99
Ryan,Speier,COL,Relief Pitcher,79,200,27.6
Ron,Flores,OAK,Relief Pitcher,71,190,27.56
Brandon,Webb,ARZ,Starting Pitcher,74,228,27.81
Dan,Johnson,OAK,First Baseman,74,220,27.56
Humberto,Quintero,HOU,Catcher,73,190,27.56
Roman,Colon,DET,Relief Pitcher,78,225,27.55
Jon,Switzer,TB,Relief Pitcher,75,191,27.55
Corey,Patterson,BAL,Outfielder,69,180,27.55
Roberto,Novoa,CHC,Relief Pitcher,77,200,27.54
Ryan,Budde,PHI,Catcher,71,200,27.54
Cory,Sullivan,COL,Outfielder,72,180,27.53
Chris,Roberson,PHI,Outfielder,74,180,27.52
Tommy,Murphy,ANA,Outfielder,72,185,27.51
Clay,Hensley,SD,Starting Pitcher,71,190,27.5
Ramon,Santiago,DET,Shortstop,71,167,27.5
Ryan,Shealy,KC,First Baseman,77,240,27.5
Ryan,Spilborghs,COL,Outfielder,73,190,27.49
Brian,Stokes,TB,Starting Pitcher,73,200,27.48
Frank,Francisco,TEX,Relief Pitcher,74,180,27.47
Billy,Traber,WAS,Starting Pitcher,77,205,27.45
Lenny,DiNardo,OAK,Relief Pitcher,76,195,27.45
Kevin,Thompson,NYY,Outfielder,70,185,27.45
Charlton,Jimerson,HOU,Outfielder,75,210,27.44
Jon,Garland,CWS,Starting Pitcher,78,210,27.43
Alay,Soler,NYM,Starting Pitcher,73,240,27.39
Shane,Youman,PIT,Starting Pitcher,76,219,27.39
Duaner,Sanchez,NYM,Relief Pitcher,72,190,27.38
Khalil,Greene,SD,Shortstop,71,210,27.36
Gabe,Gross,MLW,Outfielder,75,209,27.36
Jeremy,Brown,OAK,Designated Hitter,70,226,27.35
Coco,Crisp,BOS,Outfielder,72,185,27.33
Jason,Bartlett,MIN,Shortstop,72,180,27.33
Ezequiel,Astacio,HOU,Relief Pitcher,75,156,27.32
Adam,LaRoche,PIT,First Baseman,75,180,27.32
Dave,Bush,MLW,Starting Pitcher,74,212,27.31
Adam,Dunn,CIN,Outfielder,78,240,27.31
Gerald,Laird,TEX,Catcher,74,220,27.3
Ryan,Howard,PHI,First Baseman,76,230,27.28
Horacio,Ramirez,SEA,Starting Pitcher,73,219,27.27
Nook,Logan,WAS,Outfielder,74,180,27.26
Ryan,Theriot,CHC,Second Baseman,71,175,27.23
Eric,Stults,LA,Relief Pitcher,72,215,27.23
Garrett,Atkins,COL,Third Baseman,75,210,27.22
Kevin,Cameron,SD,Relief Pitcher,73,180,27.21
Rafael,Soriano,ATL,Relief Pitcher,73,175,27.2
David,DeJesus,KC,Outfielder,72,175,27.2
Bill,Hall,MLW,Shortstop,72,195,27.17
Brad,Salmon,CIN,Relief Pitcher,76,220,27.16
Matt,Roney,TOR,Relief Pitcher,75,245,27.14
Bobby,Crosby,OAK,Shortstop,75,195,27.13
Brooks,Conrad,HOU,Second Baseman,71,190,27.12
Matt,Holliday,COL,Outfielder,76,235,27.12
T.J.,Bohn,ATL,Outfielder,77,200,27.12
Albert,Pujols,STL,First Baseman,75,225,27.12
Mike,Rabelo,DET,Designated Hitter,73,200,27.12
J.D.,Closser,MLW,Catcher,70,176,27.12
Phil,Stockman,ATL,Relief Pitcher,80,240,27.1
Antonio,Perez,OAK,Third Baseman,71,170,27.09
Jose,Valverde,ARZ,Relief Pitcher,76,254,27.6
Hector,Luna,CLE,Second Baseman,73,170,27.08
Brandon,Lyon,ARZ,Relief Pitcher,73,180,27.56
Skip,Schumaker,STL,Outfielder,70,175,27.07
Brad,Hennessey,SF,Relief Pitcher,74,185,27.06
Cesar,Izturis,CHC,Third Baseman,69,175,27.05
Matt,Lindstrom,FLA,Relief Pitcher,76,205,27.05
Adam,Stern,BAL,Outfielder,71,180,27.05
Ryan,Langerhans,ATL,Outfielder,75,195,27.03
John,Hattig,TOR,Third Baseman,74,210,27.01
Gary,Majewski,CIN,Relief Pitcher,73,215,27.01
Scott,Munter,SF,Relief Pitcher,78,240,26.98
Rich,Hill,CHC,Starting Pitcher,77,190,26.97
Dan,Uggla,FLA,Second Baseman,71,200,26.97
Chris,Burke,HOU,Second Baseman,71,180,26.97
Freddie,Bynum,BAL,Outfielder,73,180,26.96
Neal,Cotts,CHC,Relief Pitcher,74,200,26.93
Chien-Ming,Wang,NYY,Starting Pitcher,75,200,26.92
Vinny,Rottino,MLW,Third Baseman,72,195,26.9
Ryan,O'Malley,CHC,Starting Pitcher,73,190,26.89
Mark,Teixeira,TEX,First Baseman,75,220,26.89
Jeff,Keppinger,CIN,Third Baseman,72,180,26.86
Chris,Duffy,PIT,Outfielder,70,170,26.86
Kelly,Shoppach,CLE,Catcher,73,210,26.84
Jason,Davis,CLE,Relief Pitcher,78,210,26.81
Felipe,Lopez,WAS,Shortstop,73,185,26.8
Josh,Beckett,BOS,Starting Pitcher,77,222,26.79
Austin,Kearns,WAS,Outfielder,75,220,26.78
Luis,Terrero,CWS,Outfielder,74,206,26.78
Brandon,Medders,ARZ,Relief Pitcher,73,191,27.09
Ruddy,Lugo,TB,Relief Pitcher,70,205,26.77
Justin,Hampson,SD,Relief Pitcher,73,200,26.77
Doug,Slaten,ARZ,Relief Pitcher,77,200,27.07
Cha,Baek,SEA,Starting Pitcher,76,190,26.75
Mark,Kiger,OAK,Shortstop,71,180,26.75
Matt,Belisle,CIN,Relief Pitcher,75,195,26.73
Yhency,Brazoban,LA,Relief Pitcher,73,170,26.72
Sendy,Rleal,BAL,Relief Pitcher,73,180,26.69
Chris,Shelton,DET,First Baseman,72,220,26.68
Luis,Rodriguez,MIN,Third Baseman,69,180,26.67
Todd,Linden,SF,Outfielder,75,210,26.67
John,Koronka,TEX,Starting Pitcher,73,180,26.66
Nelson,Cruz,TEX,Outfielder,75,175,26.66
John,Buck,KC,Catcher,75,210,26.65
Reggi,Abercrombie,FLA,Outfielder,75,224,26.63
Chris,Denorfia,CIN,Outfielder,73,185,26.63
Brad,Eldred,PIT,First Baseman,77,245,26.63
C.C.,Sabathia,CLE,Starting Pitcher,79,290,26.61
Jason,Botts,TEX,Designated Hitter,77,250,26.6
Shawn,Riggans,TB,Catcher,74,190,26.6
Dallas,McPherson,ANA,Third Baseman,76,230,26.6
Wilson,Betemit,LA,Third Baseman,75,190,26.59
Ryan,Braun,KC,Relief Pitcher,73,215,26.59
Craig,Breslow,BOS,Relief Pitcher,73,180,26.56
Jonah,Bayliss,PIT,Relief Pitcher,74,200,26.55
Kurt,Birkins,BAL,Relief Pitcher,74,188,26.55
Brett,Myers,PHI,Starting Pitcher,76,223,26.54
Mike,O'Connor,WAS,Starting Pitcher,75,170,26.54
Jeff,Ridgway,TB,Relief Pitcher,75,180,26.54
Lance,Cormier,ATL,Relief Pitcher,73,192,26.53
Denny,Bautista,COL,Starting Pitcher,77,170,26.52
Kevin,Correia,SF,Relief Pitcher,75,200,26.52
Marcus,McBeth,OAK,Relief Pitcher,73,185,26.52
Neal,Musser,KC,Starting Pitcher,73,215,26.51
Brendan,Harris,TB,Second Baseman,73,200,26.51
T.J.,Beam,NYY,Relief Pitcher,79,215,26.51
Ryan,Madson,PHI,Relief Pitcher,78,190,26.51
Russ,Adams,TOR,Second Baseman,73,180,26.5
Pat,Neshek,MIN,Relief Pitcher,75,205,26.49
Mark,Prior,CHC,Starting Pitcher,77,230,26.48
Todd,Coffey,CIN,Relief Pitcher,77,230,26.47
Maicer,Izturis,ANA,Third Baseman,68,155,26.46
Dan,Haren,OAK,Starting Pitcher,77,220,26.45
Levale,Speigner,WAS,Relief Pitcher,71,170,26.43
Francisco,Rosario,TOR,Relief Pitcher,72,197,26.42
Miguel,Asencio,HOU,Relief Pitcher,74,190,26.42
Bryan,Bullington,PIT,Relief Pitcher,76,222,26.41
Chad,Orvella,TB,Relief Pitcher,71,190,26.41
Noah,Lowry,SF,Starting Pitcher,74,210,26.39
Jose,Veras,NYY,Relief Pitcher,77,230,26.36
Rajai,Davis,PIT,Outfielder,71,197,26.36
Jose,Bautista,PIT,Outfielder,72,192,26.36
Laynce,Nix,MLW,Outfielder,72,200,26.33
Mike,Jacobs,FLA,First Baseman,74,180,26.33
Mike,Thompson,SD,Starting Pitcher,76,200,26.31
Sean,Tracey,CWS,Relief Pitcher,75,210,26.29
C.J.,Wilson,TEX,Relief Pitcher,74,200,26.28
Hank,Blalock,TEX,Third Baseman,73,200,26.27
Jonathan,Papelbon,BOS,Starting Pitcher,76,230,26.27
Jonny,Gomes,TB,Designated Hitter,73,205,26.27
Jeff,Salazar,COL,Outfielder,72,180,26.26
Nick,Swisher,OAK,First Baseman,72,194,26.26
Shane,Victorino,PHI,Outfielder,69,160,26.25
Gustavo,Chacin,TOR,Starting Pitcher,71,193,26.24
Eric,Reed,FLA,Outfielder,71,170,26.24
Joe,Blanton,OAK,Starting Pitcher,75,225,26.22
Fred,Lewis,SF,Outfielder,74,190,26.22
Tracy,Thorpe,TOR,Relief Pitcher,76,250,26.21
Larry,Broadway,WAS,First Baseman,76,230,26.2
Royce,Ring,SD,Relief Pitcher,72,220,26.19
Cody,Ross,FLA,Outfielder,71,180,26.18
Jason,Repko,LA,Outfielder,71,175,26.17
Ryan,Garko,CLE,First Baseman,74,225,26.16
Jeff,Francis,COL,Starting Pitcher,77,200,26.14
Darrell,Rasner,NYY,Starting Pitcher,75,210,26.13
Jose,Capellan,MLW,Relief Pitcher,76,235,26.13
Wilfredo,Ledezma,DET,Relief Pitcher,76,212,26.11
Brandon,Fahey,BAL,Outfielder,74,160,26.11
Josh,Sharpless,PIT,Relief Pitcher,77,234,26.09
Juan,Lara,CLE,Relief Pitcher,74,190,26.09
Ben,Hendrickson,MLW,Starting Pitcher,76,190,26.07
Tom,Mastny,CLE,Relief Pitcher,78,220,26.07
Seth,McClung,TB,Relief Pitcher,78,235,26.06
Chad,Tracy,ARZ,Third Baseman,74,200,26.77
Brad,Halsey,OAK,Starting Pitcher,73,180,26.04
Andrew,Brown,SD,Relief Pitcher,78,230,26.03
Sergio,Mitre,FLA,Relief Pitcher,76,210,26.03
Alex,Rios,TOR,Outfielder,77,194,26.03
Jerry,Owens,CWS,Designated Hitter,75,195,26.03
Paul,McAnulty,SD,Outfielder,70,220,26.01
Rob,Bowen,SD,Catcher,75,216,26.01
Brian,Bannister,KC,Starting Pitcher,74,202,26
Bobby,Jenks,CWS,Relief Pitcher,75,270,25.96
Curtis,Granderson,DET,Outfielder,73,185,25.96
Jose,Castillo,PIT,Second Baseman,73,200,25.95
Tony,Pe?a,ATL,Shortstop,73,180,25.94
Anderson,Garcia,PHI,Relief Pitcher,74,170,25.94
Josh,Wilson,WAS,Shortstop,73,178,25.93
Brian,Slocum,CLE,Relief Pitcher,76,200,25.93
Ryan,Doumit,PIT,First Baseman,72,200,25.91
Jorge,De,KC,Starting Pitcher,73,190,25.9
Dennis,Sarfate,MLW,Relief Pitcher,76,210,25.89
Brian,Burres,BAL,Relief Pitcher,73,182,25.89
Ronny,Paulino,PIT,Catcher,75,215,25.86
Sean,White,SEA,Starting Pitcher,76,195,25.85
Sean,Henn,NYY,Relief Pitcher,76,215,25.85
Yoslan,Herrera,PIT,Starting Pitcher,74,200,25.84
Shawn,Hill,WAS,Starting Pitcher,74,185,25.84
Joey,Gathright,KC,Outfielder,70,170,25.84
Manny,Acosta,ATL,Relief Pitcher,76,170,25.83
Chris,Duncan,STL,Outfielder,77,210,25.82
John,Maine,NYM,Starting Pitcher,76,193,25.81
Alfredo,Simon,PHI,Starting Pitcher,76,170,25.81
Justin,Morneau,MIN,First Baseman,76,228,25.79
Josh,Hamilton,CIN,Outfielder,76,205,25.78
Daniel,Cabrera,BAL,Starting Pitcher,79,230,25.76
Ben,Zobrist,TB,Shortstop,75,200,25.76
Carlos,Zambrano,CHC,Starting Pitcher,77,255,25.75
Jake,Peavy,SD,Starting Pitcher,73,180,25.75
Reggie,Willits,ANA,Outfielder,71,185,25.75
Jared,Burton,CIN,Relief Pitcher,77,220,25.74
Chin-Hui,Tsao,LA,Relief Pitcher,74,177,25.74
Tyler,Johnson,STL,Relief Pitcher,74,180,25.73
Drew,Anderson,MLW,Outfielder,74,195,25.72
Jeremy,Reed,SEA,Outfielder,72,185,25.71
Joe,Saunders,ANA,Starting Pitcher,74,200,25.71
Ben,Johnson,NYM,Outfielder,73,200,25.7
Jeff,Baker,COL,Outfielder,74,210,25.69
Brandon,Phillips,CIN,Second Baseman,71,185,25.67
Francisco,Cruceta,TEX,Relief Pitcher,74,180,25.66
Angel,Pagan,CHC,Outfielder,73,180,25.66
Jesse,Crain,MIN,Relief Pitcher,73,205,25.65
Jon,Huber,SEA,Relief Pitcher,74,195,25.65
Blaine,Boyer,ATL,Relief Pitcher,75,190,25.64
Jimmy,Gobble,KC,Relief Pitcher,75,190,25.62
Hong-Chih,Kuo,LA,Relief Pitcher,72,200,25.6
Kevin,Kouzmanoff,SD,Designated Hitter,73,200,25.6
Travis,Bowyer,FLA,Relief Pitcher,75,200,25.57
Carl,Crawford,TB,Outfielder,74,219,25.57
Randy,Messenger,FLA,Relief Pitcher,72,220,25.55
Oliver,Perez,NYM,Starting Pitcher,72,190,25.54
Pat,Misch,SF,Relief Pitcher,74,170,25.53
Adam,Wainwright,STL,Starting Pitcher,79,205,25.5
Ramon,Ramirez,COL,Relief Pitcher,71,190,25.5
Jake,Woods,SEA,Relief Pitcher,73,190,25.49
Mark,Teahen,KC,Third Baseman,75,210,25.48
Scott,Baker,MIN,Starting Pitcher,76,221,25.45
Casey,Janssen,TOR,Starting Pitcher,76,205,25.45
Jordan,Tata,DET,Relief Pitcher,78,220,25.44
Billy,Sadler,SF,Relief Pitcher,72,190,25.44
Jason,Bergmann,WAS,Relief Pitcher,76,190,25.43
Rocco,Baldelli,TB,Outfielder,76,187,25.43
Matt,Murton,CHC,Outfielder,73,215,25.41
Joel,Hanrahan,WAS,Starting Pitcher,75,215,25.4
Boof,Bonser,MIN,Starting Pitcher,76,260,25.38
Taylor,Buchholz,COL,Starting Pitcher,76,220,25.38
Anthony,Reyes,STL,Starting Pitcher,74,215,25.37
David,Murphy,BOS,Outfielder,76,192,25.37
Brett,Campbell,WAS,Relief Pitcher,72,170,25.37
Beltran,Perez,WAS,Relief Pitcher,74,180,25.35
Ben,Francisco,CLE,Outfielder,73,180,25.35
Nate,McLouth,PIT,Outfielder,71,186,25.34
Mike,Napoli,ANA,Catcher,72,205,25.33
Ian,Snell,PIT,Starting Pitcher,71,170,25.33
Chuck,James,ATL,Starting Pitcher,72,170,25.31
Merkin,Valdez,SF,Relief Pitcher,77,208,25.3
Fernando,Cabrera,CLE,Relief Pitcher,76,170,25.29
Oscar,Villarreal,ATL,Relief Pitcher,72,205,25.27
Rich,Harden,OAK,Starting Pitcher,73,180,25.25
Guillermo,Quiroz,TEX,Catcher,73,202,25.25
Jerome,Williams,WAS,Relief Pitcher,75,246,25.24
Chris,Snelling,WAS,Outfielder,70,165,25.24
Jeremy,Accardo,TOR,Relief Pitcher,74,190,25.23
Kory,Casto,WAS,Outfielder,73,200,25.23
Shane,Costa,KC,Outfielder,72,220,25.22
Angel,Guzman,CHC,Starting Pitcher,75,190,25.21
Shaun,Marcum,TOR,Starting Pitcher,72,180,25.21
James,Shields,TB,Starting Pitcher,76,214,25.19
Chris,Narveson,STL,Relief Pitcher,75,205,25.19
Omar,Infante,DET,Second Baseman,72,176,25.18
Willy,Taveras,COL,Outfielder,72,160,25.18
Alvin,Colina,COL,Catcher,75,209,25.18
David,Aardsma,CWS,Relief Pitcher,77,200,25.17
Scott,Thorman,ATL,Outfielder,75,200,25.15
Francisco,Rodriguez,ANA,Relief Pitcher,72,185,25.14
Scott,Hairston,ARZ,Outfielder,72,188,26.77
Brayan,Pe?a,ATL,Catcher,71,220,25.14
Dontrelle,Willis,FLA,Starting Pitcher,76,239,25.13
Chris,Ray,BAL,Relief Pitcher,75,200,25.13
Terry,Evans,ANA,Outfielder,75,200,25.11
Wily,Mo,BOS,Outfielder,75,215,25.1
Josh,Shortslef,PIT,Starting Pitcher,76,220,25.08
Yuniesky,Betancourt,SEA,Shortstop,70,190,25.08
Jorge,Cantu,TB,Second Baseman,73,184,25.08
Brad,Thompson,STL,Relief Pitcher,73,190,25.08
Manny,Delcarmen,BOS,Relief Pitcher,74,190,25.03
Brian,Bruney,NYY,Relief Pitcher,75,226,25.03
Chris,Stewart,TEX,Catcher,76,205,25.03
Jason,Hirsh,COL,Starting Pitcher,80,250,25.02
Kelly,Johnson,ATL,Outfielder,73,180,25.02
David,Shafer,OAK,Starting Pitcher,74,180,24.98
Zach,Miner,DET,Starting Pitcher,75,200,24.97
Brian,N.,CWS,Outfielder,74,205,24.97
A.J.,Murray,TEX,Starting Pitcher,75,200,24.96
Brian,Wilson,SF,Relief Pitcher,73,205,24.96
Rafael,Perez,CLE,Relief Pitcher,75,185,24.96
Chad,Cordero,WAS,Relief Pitcher,72,198,24.95
Ryan,Goleski,OAK,Outfielder,75,225,24.95
Heath,Phillips,CWS,Starting Pitcher,75,200,24.94
Robinson,Tejeda,TEX,Starting Pitcher,75,188,24.94
Aaron,Hill,TOR,Second Baseman,71,195,24.94
Lincoln,Holdzkom,HOU,Relief Pitcher,76,240,24.94
Dustin,McGowan,TOR,Relief Pitcher,75,220,24.94
Mike,Morse,SEA,Outfielder,76,220,24.94
Corey,Hart,MLW,Outfielder,78,200,24.94
Kason,Gabbard,BOS,Starting Pitcher,75,200,24.9
Andre,Ethier,LA,Outfielder,73,208,24.89
Ryan,Ketchner,SD,Relief Pitcher,73,190,24.87
Alejandro,Machado,MIN,Second Baseman,72,184,24.85
Chris,Snyder,ARZ,Catcher,75,220,26.05
Adrian,Gonzalez,SD,First Baseman,74,220,24.81
Nick,Masset,CWS,Relief Pitcher,76,190,24.79
Kevin,Frandsen,SF,Second Baseman,72,175,24.77
Jason,Kubel,MIN,Outfielder,71,200,24.77
Jhonny,Peralta,CLE,Shortstop,73,185,24.76
Carlos,Martinez,FLA,Relief Pitcher,73,170,24.76
Virgil,Vasquez,DET,Starting Pitcher,75,205,24.73
Buck,Coats,CHC,Outfielder,75,195,24.73
Ian,Kinsler,TEX,Second Baseman,72,175,24.69
Paul,Maholm,PIT,Starting Pitcher,74,225,24.68
Mitch,Maier,KC,Outfielder,74,210,24.67
Delwyn,Young,LA,Outfielder,68,209,24.67
Logan,Kensing,FLA,Relief Pitcher,73,185,24.66
Renyel,Pinto,FLA,Relief Pitcher,76,195,24.65
Tom,Gorzelanny,PIT,Starting Pitcher,74,207,24.64
Fernando,Nieve,HOU,Starting Pitcher,72,195,24.63
Ryan,Wagner,WAS,Relief Pitcher,76,210,24.63
Edward,Campusano,DET,Relief Pitcher,76,170,24.63
Shin-Soo,Choo,CLE,Outfielder,71,178,24.63
Yadier,Molina,STL,Catcher,71,225,24.63
Jason,Windsor,OAK,Starting Pitcher,74,233,24.62
Brian,Rogers,PIT,Relief Pitcher,76,190,24.62
Grady,Sizemore,CLE,Outfielder,74,200,24.58
Tony,Pe?a,ARZ,Relief Pitcher,74,190,25.14
J.J.,Hardy,MLW,Shortstop,74,180,24.53
Josh,Rupe,TEX,Relief Pitcher,74,200,24.53
Conor,Jackson,ARZ,First Baseman,74,225,24.82
Sean,Marshall,CHC,Starting Pitcher,79,205,24.5
Jason,Hammel,TB,Starting Pitcher,78,200,24.49
Wes,Littleton,TEX,Relief Pitcher,74,210,24.49
Bobby,Livingston,CIN,Relief Pitcher,75,190,24.49
Paul,Estrada,HOU,Relief Pitcher,73,215,24.47
Rickie,Weeks,MLW,Second Baseman,72,195,24.46
Sean,Burnett,PIT,Starting Pitcher,71,190,24.45
Jeff,Karstens,NYY,Starting Pitcher,75,175,24.43
Hector,Gimenez,HOU,Catcher,70,180,24.42
Tony,Gwynn,MLW,Outfielder,72,185,24.41
Jered,Weaver,ANA,Starting Pitcher,79,205,24.41
Carlos,Marmol,CHC,Starting Pitcher,74,180,24.38
Robinson,Cano,NYY,Second Baseman,72,170,24.36
Macay,McBride,ATL,Relief Pitcher,71,210,24.35
Jeremy,Bonderman,DET,Starting Pitcher,74,210,24.34
Anderson,Hernandez,NYM,Second Baseman,69,168,24.33
Chris,Resop,ANA,Relief Pitcher,75,222,24.32
Jonathan,Sanchez,SF,Starting Pitcher,74,165,24.28
Tony,Giarratano,DET,Shortstop,72,180,24.25
Manny,Corpas,COL,Relief Pitcher,75,170,24.24
Josh,Fields,CWS,Third Baseman,73,215,24.21
Ricky,Nolasco,FLA,Starting Pitcher,74,220,24.21
Chris,Britton,NYY,Relief Pitcher,75,278,24.21
Juan,Mateo,CHC,Starting Pitcher,74,180,24.2
Josh,Barfield,CLE,Second Baseman,72,185,24.2
David,Wright,NYM,Third Baseman,72,200,24.19
Philip,Humber,NYM,Relief Pitcher,76,210,24.19
Michael,Bourn,PHI,Outfielder,71,180,24.18
James,Hoey,BAL,Relief Pitcher,78,200,24.17
Julio,DePaula,MIN,Relief Pitcher,72,170,24.16
Edwin,Encarnacion,CIN,Third Baseman,73,195,24.15
Ervin,Santana,ANA,Starting Pitcher,74,160,24.14
Andrew,Sisco,CWS,Relief Pitcher,81,260,24.13
Matt,Albers,HOU,Starting Pitcher,72,205,24.11
Geovany,Soto,CHC,Catcher,73,195,24.11
Gavin,Floyd,CWS,Starting Pitcher,76,212,24.09
Elizardo,Ramirez,CIN,Starting Pitcher,72,180,24.09
Jean,Machi,TOR,Relief Pitcher,72,160,24.08
Ronny,Cedeno,CHC,Shortstop,72,180,24.07
Jason,Vargas,NYM,Relief Pitcher,72,215,24.07
Scott,Feldman,TEX,Relief Pitcher,77,210,24.06
Russell,Martin,LA,Catcher,71,202,24.04
Casey,Kotchman,ANA,First Baseman,75,210,24.02
Justin,Verlander,DET,Starting Pitcher,77,200,24.02
Enrique,Gonzalez,ARZ,Starting Pitcher,70,210,24.57
Franklin,Gutierrez,CLE,Outfielder,74,175,24.02
Jay,Marshall,OAK,Relief Pitcher,77,185,24.01
Glen,Perkins,MIN,Relief Pitcher,71,200,24
Willy,Aybar,ATL,Third Baseman,72,175,23.98
Donald,Murphy,OAK,Second Baseman,70,180,23.98
Taylor,Tankersley,FLA,Relief Pitcher,73,220,23.98
Carlos,Quentin,ARZ,Outfielder,73,225,24.51
Brandon,League,TOR,Relief Pitcher,75,192,23.96
Chad,Gaudin,OAK,Relief Pitcher,71,165,23.94
Jeff,Mathis,ANA,Catcher,72,180,23.92
Davis,Romero,TOR,Relief Pitcher,70,155,23.92
Chris,Iannetta,COL,Catcher,71,195,23.9
Jeff,Fiorentino,BAL,Outfielder,73,188,23.88
Miguel,Cabrera,FLA,Third Baseman,74,210,23.87
Zach,Duke,PIT,Starting Pitcher,74,207,23.87
Edgar,Gonzalez,ARZ,Relief Pitcher,72,215,24.02
Joe,Mauer,MIN,Catcher,76,220,23.87
J.P.,Howell,TB,Starting Pitcher,72,175,23.85
George,Kottaras,BOS,Catcher,72,180,23.79
Jeremy,Sowers,CLE,Starting Pitcher,73,175,23.79
Humberto,Sanchez,NYY,Starting Pitcher,78,230,23.76
Jae-Kuk,Ryu,TB,Relief Pitcher,75,220,23.75
Bill,Bray,CIN,Relief Pitcher,75,215,23.74
Cla,Meredith,SD,Relief Pitcher,73,185,23.74
Mark,Lowe,SEA,Relief Pitcher,75,190,23.73
Jose,Reyes,NYM,Shortstop,72,160,23.72
Kendry,Morales,ANA,First Baseman,73,220,23.7
Edinson,Volquez,TEX,Starting Pitcher,73,190,23.66
Brandon,McCarthy,TEX,Starting Pitcher,79,190,23.65
Howie,Kendrick,ANA,First Baseman,70,180,23.64
Miguel,Montero,ARZ,Catcher,71,197,23.64
Adam,Lind,TOR,Designated Hitter,74,195,23.62
Huston,Street,OAK,Relief Pitcher,72,190,23.58
Rene,Rivera,SEA,Catcher,70,190,23.58
Dustin,Pedroia,BOS,Second Baseman,69,180,23.54
Nick,DeBarr,BOS,Relief Pitcher,76,220,23.52
Matt,Capps,PIT,Relief Pitcher,75,238,23.49
Chris,Young,ARZ,Outfielder,74,180,23.49
Kyle,Davies,ATL,Starting Pitcher,74,205,23.47
Edwin,Jackson,TB,Starting Pitcher,75,190,23.47
Joey,Votto,CIN,First Baseman,75,200,23.47
Andy,LaRoche,LA,Third Baseman,71,185,23.46
Brandon,Moss,BOS,Outfielder,72,180,23.46
Charlie,Haeger,CWS,Starting Pitcher,73,200,23.45
Joey,Devine,ATL,Relief Pitcher,71,195,23.45
Angel,Sanchez,KC,Second Baseman,74,185,23.44
Andy,Marte,CLE,Third Baseman,73,185,23.36
Zack,Greinke,KC,Starting Pitcher,74,200,23.36
Francisco,Liriano,MIN,Starting Pitcher,74,185,23.35
Dana,Eveland,ARZ,Starting Pitcher,73,250,23.34
Martin,Prado,ATL,Second Baseman,73,170,23.34
Brent,Clevlen,DET,Outfielder,74,190,23.34
Juan,Morillo,COL,Relief Pitcher,73,190,23.32
